Title,Repository,Year,Classification,Journal,Author(-s),Link,Study(-ies),Same Group
Predicting Network Activity from High Throughput Metabolomics,MetaboLights,2013,Methods,PLOS Computational Biology,"Li S, Park Y, Duraisingham S, Strobel FH, Khan N, Soltow QA, Jones DP & Pulendran B",https://doi.org/10.1371/journal.pcbi.1003123,MTBLS20,0
The Risa R/Bioconductor package: integrative data analysis from experimental metadata and back again.,MetaboLights,2014,Software,BMC Bioinformatics,"Gonzalez-Beltran A, Neumann S, Maguire E, Sansone S-A & Rocca-Serra P",https://doi.org/10.1186%2F1471-2105-15-S1-S11,MTBLS2,1
PredRet: Prediction of Retention Time by Direct Mapping between Multiple Chromatographic Systems,MetaboLights,2015,Software,Analytical Chemistry,"Stanstrup J, Neumann S & Vrhovsek U",https://doi.org/10.1021/acs.analchem.5b02287,"MTBLS4,MTBLS17,MTBLS19,MTBLS20,MTBLS36,MTBLS36,MTBLS38,MTBLS39,MTBLS87,MTBLS52",0
The influence of scaling metabolomics data on model classification accuracy,MetaboLights,2015,Methods,Metabolomics,"Gromski PS, Xu Y, Hollywood KA, Turner ML & Goodacre R",https://doi.org/10.1007/s11306-014-0738-7,"MTBLS1,MTBLS40,MTBLS24",0
Joint Analysis of Dependent Features within Compound Spectra Can Improve Detection of Differential Features,MetaboLights,2015,Methods,Frontiers in Bioengineering and Biotechnology,"Trutschel D, Schmidt S, Grosse I & Neumann S",https://doi.org/10.3389/fbioe.2015.00129,MTBLS74,1
BiNChE: A web tool and library for chemical enrichment analysis based on the ChEBI ontology,MetaboLights,2015,Resource,BMC Bioinformatics,"Moreno P, Beisken S, Harsha B, Muthukrishnan V, Tudose I, Dekker A, Dornfeldt S, Taruttis F, Grosse I, Hastings J, Neumann S & Steinbeck C",https://doi.org/10.1186/s12859-015-0486-3,"MTBLS23,MTBLS35",0
Approaches to sample size determination for multivariate data: Applications to PCA and PLS-DA of omics data,MetaboLights,2016,Methods,Journal of Proteome Research,Saccenti E & Timmerman ME,https://doi.org/10.1021/acs.jproteome.5b01029,"MTBLS93,MTBLS123",0
Galaxy-M: a Galaxy workflow for processing and analyzing direct infusion and liquid chromatography mass spectrometry-based metabolomics data,MetaboLights,2016,Software,GigaScience,"Davidson RL, Weber RJ, Liu H, Sharma-Oates A & Viant MR",https://doi.org/10.1186/s13742-016-0115-8,"MTBLS79,MTBLS146",1
Performance Evaluation and Online Realization of Data-driven Normalization Methods Used in LC/MS based Untargeted Metabolomics Analysis,MetaboLights,2016,Software,Scientific Reports,"Li B, Tang J, Yang Q, Cui X, Li S, Chen S, Cao Q, Xue W, Chen N & Zhu F",https://doi.org/10.1038/srep38881,"MTBLS17,MTBLS28",0
Effect of Insulin Resistance on Monounsaturated Fatty Acid Levels: A Multi-cohort Non-targeted Metabolomics and Mendelian Randomization Study,MetaboLights,2016,Biological studies,PLOS Genetics,"Nowak C, Salihovic S, Ganna A, Brandmaier S, Tukiainen T, Broeckling CD, Magnusson PK, Prenni JE, Wang-Sattler R, Peters A, Strauch K, Meitinger T, Giedraitis V, Arnlov J, Berne C, Gieger C, Ripatti S, Lind L, Pedersen NL, Sundstrom J, Ingelsson E & Fall T.",https://doi.org/10.1371/journal.pgen.1006379,"MTBLS90,MTBLS93,MTBLS124",1
